"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2022 00:00 - 01/01/2022 00:15","BZN|NL","10446.35","11765.84"
"01/01/2022 00:15 - 01/01/2022 00:30","BZN|NL","10388.09","11608.16"
"01/01/2022 00:30 - 01/01/2022 00:45","BZN|NL","10340.01","11449.90"
"01/01/2022 00:45 - 01/01/2022 01:00","BZN|NL","10322.12","11304.87"
"01/01/2022 01:00 - 01/01/2022 01:15","BZN|NL","10326.48","11212.91"
"01/01/2022 01:15 - 01/01/2022 01:30","BZN|NL","10331.75","11128.97"
"01/01/2022 01:30 - 01/01/2022 01:45","BZN|NL","10223.21","11048.40"
"01/01/2022 01:45 - 01/01/2022 02:00","BZN|NL","10118.23","10950.14"
"01/01/2022 02:00 - 01/01/2022 02:15","BZN|NL","10033.44","10896.31"
"01/01/2022 02:15 - 01/01/2022 02:30","BZN|NL","9955.75","10822.16"
"01/01/2022 02:30 - 01/01/2022 02:45","BZN|NL","9861.22","10771.41"
"01/01/2022 02:45 - 01/01/2022 03:00","BZN|NL","9777.73","10733.15"
"01/01/2022 03:00 - 01/01/2022 03:15","BZN|NL","9869.52","10739.41"
"01/01/2022 03:15 - 01/01/2022 03:30","BZN|NL","9842.51","10691.65"
"01/01/2022 03:30 - 01/01/2022 03:45","BZN|NL","9758.20","10656.27"
"01/01/2022 03:45 - 01/01/2022 04:00","BZN|NL","9658.99","10617.66"
"01/01/2022 04:00 - 01/01/2022 04:15","BZN|NL","9663.00","10621.59"
"01/01/2022 04:15 - 01/01/2022 04:30","BZN|NL","9622.75","10647.68"
"01/01/2022 04:30 - 01/01/2022 04:45","BZN|NL","9566.56","10656.11"
"01/01/2022 04:45 - 01/01/2022 05:00","BZN|NL","9505.79","10650.29"
"01/01/2022 05:00 - 01/01/2022 05:15","BZN|NL","9514.52","10731.48"
"01/01/2022 05:15 - 01/01/2022 05:30","BZN|NL","9498.99","10772.62"
"01/01/2022 05:30 - 01/01/2022 05:45","BZN|NL","9524.02","10826.45"
"01/01/2022 05:45 - 01/01/2022 06:00","BZN|NL","9493.82","10879.05"
"01/01/2022 06:00 - 01/01/2022 06:15","BZN|NL","9629.08","10990.55"
"01/01/2022 06:15 - 01/01/2022 06:30","BZN|NL","9672.90","11100.49"
"01/01/2022 06:30 - 01/01/2022 06:45","BZN|NL","9702.19","11200.99"
"01/01/2022 06:45 - 01/01/2022 07:00","BZN|NL","9758.51","11360.47"
"01/01/2022 07:00 - 01/01/2022 07:15","BZN|NL","9822.35","11567.17"
"01/01/2022 07:15 - 01/01/2022 07:30","BZN|NL","9886.89","11730.49"
"01/01/2022 07:30 - 01/01/2022 07:45","BZN|NL","9969.01","11961.56"
"01/01/2022 07:45 - 01/01/2022 08:00","BZN|NL","10008.89","12209.83"
"01/01/2022 08:00 - 01/01/2022 08:15","BZN|NL","10102.85","12429.99"
"01/01/2022 08:15 - 01/01/2022 08:30","BZN|NL","10167.13","12664.15"
"01/01/2022 08:30 - 01/01/2022 08:45","BZN|NL","10183.55","12830.89"
"01/01/2022 08:45 - 01/01/2022 09:00","BZN|NL","10178.86","13032.94"
"01/01/2022 09:00 - 01/01/2022 09:15","BZN|NL","10277.86","13188.35"
"01/01/2022 09:15 - 01/01/2022 09:30","BZN|NL","10329.79","13292.25"
"01/01/2022 09:30 - 01/01/2022 09:45","BZN|NL","10366.07","13307.41"
"01/01/2022 09:45 - 01/01/2022 10:00","BZN|NL","10472.04","13288.72"
"01/01/2022 10:00 - 01/01/2022 10:15","BZN|NL","10574.04","13260.42"
"01/01/2022 10:15 - 01/01/2022 10:30","BZN|NL","10680.39","13195.37"
"01/01/2022 10:30 - 01/01/2022 10:45","BZN|NL","10682.65","13125.03"
"01/01/2022 10:45 - 01/01/2022 11:00","BZN|NL","10714.57","13053.43"
"01/01/2022 11:00 - 01/01/2022 11:15","BZN|NL","10717.66","13003.76"
"01/01/2022 11:15 - 01/01/2022 11:30","BZN|NL","10683.35","12930.25"
"01/01/2022 11:30 - 01/01/2022 11:45","BZN|NL","10651.54","12860.10"
"01/01/2022 11:45 - 01/01/2022 12:00","BZN|NL","10621.59","12812.65"
"01/01/2022 12:00 - 01/01/2022 12:15","BZN|NL","10537.39","12792.76"
"01/01/2022 12:15 - 01/01/2022 12:30","BZN|NL","10506.67","12753.04"
"01/01/2022 12:30 - 01/01/2022 12:45","BZN|NL","10531.35","12690.59"
"01/01/2022 12:45 - 01/01/2022 13:00","BZN|NL","10593.43","12649.84"
