"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 00:00 - 01/01/2024 00:15","BZN|NL","11257.49","10782.84"
"01/01/2024 00:15 - 01/01/2024 00:30","BZN|NL","11279.48","10713.32"
"01/01/2024 00:30 - 01/01/2024 00:45","BZN|NL","11290.94","10625.71"
"01/01/2024 00:45 - 01/01/2024 01:00","BZN|NL","11265.92","10526.82"
"01/01/2024 01:00 - 01/01/2024 01:15","BZN|NL","11311.90","10456.65"
"01/01/2024 01:15 - 01/01/2024 01:30","BZN|NL","11280.72","10334.70"
"01/01/2024 01:30 - 01/01/2024 01:45","BZN|NL","11247.95","10290.15"
"01/01/2024 01:45 - 01/01/2024 02:00","BZN|NL","11127.99","10234.55"
"01/01/2024 02:00 - 01/01/2024 02:15","BZN|NL","11127.20","10233.22"
"01/01/2024 02:15 - 01/01/2024 02:30","BZN|NL","11073.62","10221.46"
"01/01/2024 02:30 - 01/01/2024 02:45","BZN|NL","10982.28","10134.64"
"01/01/2024 02:45 - 01/01/2024 03:00","BZN|NL","10894.30","10106.67"
"01/01/2024 03:00 - 01/01/2024 03:15","BZN|NL","10848.26","10074.67"
"01/01/2024 03:15 - 01/01/2024 03:30","BZN|NL","10757.63","10015.19"
"01/01/2024 03:30 - 01/01/2024 03:45","BZN|NL","10782.92","10004.29"
"01/01/2024 03:45 - 01/01/2024 04:00","BZN|NL","10714.58","10007.85"
"01/01/2024 04:00 - 01/01/2024 04:15","BZN|NL","10703.44","10036.90"
"01/01/2024 04:15 - 01/01/2024 04:30","BZN|NL","10626.93","10086.46"
"01/01/2024 04:30 - 01/01/2024 04:45","BZN|NL","10598.12","10111.38"
"01/01/2024 04:45 - 01/01/2024 05:00","BZN|NL","10579.73","10137.27"
"01/01/2024 05:00 - 01/01/2024 05:15","BZN|NL","10614.47","10222.51"
"01/01/2024 05:15 - 01/01/2024 05:30","BZN|NL","10661.68","10298.15"
"01/01/2024 05:30 - 01/01/2024 05:45","BZN|NL","10710.22","10375.67"
"01/01/2024 05:45 - 01/01/2024 06:00","BZN|NL","10726.83","10499.38"
"01/01/2024 06:00 - 01/01/2024 06:15","BZN|NL","10851.52","10620.33"
"01/01/2024 06:15 - 01/01/2024 06:30","BZN|NL","10861.34","10915.24"
"01/01/2024 06:30 - 01/01/2024 06:45","BZN|NL","10874.69","11148.74"
"01/01/2024 06:45 - 01/01/2024 07:00","BZN|NL","10911.92","11389.98"
"01/01/2024 07:00 - 01/01/2024 07:15","BZN|NL","11052.11","11736.10"
"01/01/2024 07:15 - 01/01/2024 07:30","BZN|NL","11076.47","12128.07"
"01/01/2024 07:30 - 01/01/2024 07:45","BZN|NL","11202.04","12442.69"
"01/01/2024 07:45 - 01/01/2024 08:00","BZN|NL","11251.75","12748.27"
"01/01/2024 08:00 - 01/01/2024 08:15","BZN|NL","11382.46","13015.62"
"01/01/2024 08:15 - 01/01/2024 08:30","BZN|NL","11556.83","13313.20"
"01/01/2024 08:30 - 01/01/2024 08:45","BZN|NL","11623.94","13523.69"
"01/01/2024 08:45 - 01/01/2024 09:00","BZN|NL","11686.27","13718.79"
"01/01/2024 09:00 - 01/01/2024 09:15","BZN|NL","11789.55","13830.45"
"01/01/2024 09:15 - 01/01/2024 09:30","BZN|NL","11849.63","13942.74"
"01/01/2024 09:30 - 01/01/2024 09:45","BZN|NL","11911.64","13963.37"
"01/01/2024 09:45 - 01/01/2024 10:00","BZN|NL","12063.69","13987.90"
"01/01/2024 10:00 - 01/01/2024 10:15","BZN|NL","12155.82","14050.29"
"01/01/2024 10:15 - 01/01/2024 10:30","BZN|NL","12224.21","14072.48"
"01/01/2024 10:30 - 01/01/2024 10:45","BZN|NL","12246.54","14038.83"
"01/01/2024 10:45 - 01/01/2024 11:00","BZN|NL","12296.20","13941.82"
"01/01/2024 11:00 - 01/01/2024 11:15","BZN|NL","12331.84","13878.87"
"01/01/2024 11:15 - 01/01/2024 11:30","BZN|NL","12352.08","13884.84"
"01/01/2024 11:30 - 01/01/2024 11:45","BZN|NL","12384.52","13802.23"
"01/01/2024 11:45 - 01/01/2024 12:00","BZN|NL","12374.46","13806.94"
"01/01/2024 12:00 - 01/01/2024 12:15","BZN|NL","12379.92","13762.31"
"01/01/2024 12:15 - 01/01/2024 12:30","BZN|NL","12402.74","13730.13"
"01/01/2024 12:30 - 01/01/2024 12:45","BZN|NL","12442.69","13648.98"
"01/01/2024 12:45 - 01/01/2024 13:00","BZN|NL","12496.32","13592.50"
"01/01/2024 13:00 - 01/01/2024 13:15","BZN|NL","12517.71","13551.47"
"01/01/2024 13:15 - 01/01/2024 13:30","BZN|NL","12513.51","13672.23"
"01/01/2024 13:30 - 01/01/2024 13:45","BZN|NL","12549.23","13671.84"
"01/01/2024 13:45 - 01/01/2024 14:00","BZN|NL","12489.41","13665.59"
"01/01/2024 14:00 - 01/01/2024 14:15","BZN|NL","12511.64","13837.39"
"01/01/2024 14:15 - 01/01/2024 14:30","BZN|NL","12568.81","13864.37"
"01/01/2024 14:30 - 01/01/2024 14:45","BZN|NL","12609.98","13869.17"
"01/01/2024 14:45 - 01/01/2024 15:00","BZN|NL","12722.51","13866.72"
"01/01/2024 15:00 - 01/01/2024 15:15","BZN|NL","12829.19","13979.47"
"01/01/2024 15:15 - 01/01/2024 15:30","BZN|NL","12927.90","14082.29"
"01/01/2024 15:30 - 01/01/2024 15:45","BZN|NL","12996.32","14161.94"
"01/01/2024 15:45 - 01/01/2024 16:00","BZN|NL","13165.18","14218.67"
"01/01/2024 16:00 - 01/01/2024 16:15","BZN|NL","13300.64","14224.09"
"01/01/2024 16:15 - 01/01/2024 16:30","BZN|NL","13545.05","14246.30"
"01/01/2024 16:30 - 01/01/2024 16:45","BZN|NL","13656.17","14317.51"
"01/01/2024 16:45 - 01/01/2024 17:00","BZN|NL","13947.79","14431.81"
"01/01/2024 17:00 - 01/01/2024 17:15","BZN|NL","14105.65","14495.12"
"01/01/2024 17:15 - 01/01/2024 17:30","BZN|NL","14303.72","14497.09"
"01/01/2024 17:30 - 01/01/2024 17:45","BZN|NL","14413.79","14517.51"
"01/01/2024 17:45 - 01/01/2024 18:00","BZN|NL","14485.48","14519.21"
