MTU (CET/CEST),Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
03/01/2023 09:00:00 - 03/01/2023 10:00:00,BZN|NL,Without Sequence,171.18,,
03/01/2023 10:00:00 - 03/01/2023 11:00:00,BZN|NL,Without Sequence,168.57,,
03/01/2023 11:00:00 - 03/01/2023 12:00:00,BZN|NL,Without Sequence,169.49,,
03/01/2023 12:00:00 - 03/01/2023 13:00:00,BZN|NL,Without Sequence,164.5,,
03/01/2023 13:00:00 - 03/01/2023 14:00:00,BZN|NL,Without Sequence,160.91,,
03/01/2023 14:00:00 - 03/01/2023 15:00:00,BZN|NL,Without Sequence,163.06,,
03/01/2023 15:00:00 - 03/01/2023 16:00:00,BZN|NL,Without Sequence,166.79,,
03/01/2023 16:00:00 - 03/01/2023 17:00:00,BZN|NL,Without Sequence,166.57,,
03/01/2023 17:00:00 - 03/01/2023 18:00:00,BZN|NL,Without Sequence,170.82,,
03/01/2023 18:00:00 - 03/01/2023 19:00:00,BZN|NL,Without Sequence,168.95,,
03/01/2023 19:00:00 - 03/01/2023 20:00:00,BZN|NL,Without Sequence,160.99,,
03/01/2023 20:00:00 - 03/01/2023 21:00:00,BZN|NL,Without Sequence,149.62,,
03/01/2023 21:00:00 - 03/01/2023 22:00:00,BZN|NL,Without Sequence,130.63,,
03/01/2023 22:00:00 - 03/01/2023 23:00:00,BZN|NL,Without Sequence,114.42,,
03/01/2023 23:00:00 - 04/01/2023 00:00:00,BZN|NL,Without Sequence,92.48,,
04/01/2023 00:00:00 - 04/01/2023 01:00:00,BZN|NL,Without Sequence,80.07,,
04/01/2023 01:00:00 - 04/01/2023 02:00:00,BZN|NL,Without Sequence,68.44,,
04/01/2023 02:00:00 - 04/01/2023 03:00:00,BZN|NL,Without Sequence,37.92,,
04/01/2023 03:00:00 - 04/01/2023 04:00:00,BZN|NL,Without Sequence,0,,
04/01/2023 04:00:00 - 04/01/2023 05:00:00,BZN|NL,Without Sequence,0,,
04/01/2023 05:00:00 - 04/01/2023 06:00:00,BZN|NL,Without Sequence,6.33,,
04/01/2023 06:00:00 - 04/01/2023 07:00:00,BZN|NL,Without Sequence,54.9,,
04/01/2023 07:00:00 - 04/01/2023 08:00:00,BZN|NL,Without Sequence,85.32,,
04/01/2023 08:00:00 - 04/01/2023 09:00:00,BZN|NL,Without Sequence,150,,
04/01/2023 09:00:00 - 04/01/2023 10:00:00,BZN|NL,Without Sequence,146,,
04/01/2023 10:00:00 - 04/01/2023 11:00:00,BZN|NL,Without Sequence,131.19,,
04/01/2023 11:00:00 - 04/01/2023 12:00:00,BZN|NL,Without Sequence,130.53,,
04/01/2023 12:00:00 - 04/01/2023 13:00:00,BZN|NL,Without Sequence,127.87,,
04/01/2023 13:00:00 - 04/01/2023 14:00:00,BZN|NL,Without Sequence,119.08,,
04/01/2023 14:00:00 - 04/01/2023 15:00:00,BZN|NL,Without Sequence,116.55,,
04/01/2023 15:00:00 - 04/01/2023 16:00:00,BZN|NL,Without Sequence,127.99,,
04/01/2023 16:00:00 - 04/01/2023 17:00:00,BZN|NL,Without Sequence,131.25,,
04/01/2023 17:00:00 - 04/01/2023 18:00:00,BZN|NL,Without Sequence,150.2,,
04/01/2023 18:00:00 - 04/01/2023 19:00:00,BZN|NL,Without Sequence,137.5,,
